no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1,5,393216,0,15300,9800,13300,3928,0,0,0,1325158,689925,8171479
2,5,401678,0,18100,8590,0,97889,0,0,0,1348159,701900,8943555
3,5,400556,0,30100,9800,0,14292,0,0,0,1346493,701032,8081293
4,7,403931,14000,15300,12200,0,0,0,73737,0,1473977,746557,9158538
5,7,401183,0,15300,13113,0,0,0,73737,0,1427942,744081,8895899
6,5,399558,14000,15300,21731,0,0,0,0,0,1386112,700166,8088858
7,5,401117,0,18100,9963,0,0,0,0,0,1347326,701466,7776560
8,5,400057,14000,15300,14160,3610,10707,13566,0,0,1386945,700600,8340577
9,5,401117,26800,15300,9251,0,0,0,0,0,1426352,701466,8173634
10,5,388715,0,30100,0,1800,0,0,0,0,1307104,680525,7594749
11,5,392766,0,18100,5000,2780,0,0,0,0,1314071,684152,7587547
12,5,398852,0,0,3780,3600,389113,0,0,0,1337621,696413,12152518
13,7,395626,7800,15300,20951,0,0,0,73737,0,1422939,729490,9000505
14,7,398215,14000,18100,0,0,0,0,73737,0,1451695,734948,8935023
15,5,382509,0,30100,7400,1800,0,0,0,0,1271101,661781,7545402
16,5,396857,0,18100,5000,4100,10620,9204,0,0,1334294,694681,8431647
17,5,396857,14000,15300,20855,3610,14868,7788,0,0,1375576,694681,8891729
18,5,397854,0,0,7400,2900,10647,7100,0,0,1335956,695546,7715218
19,5,392506,0,15300,5000,14000,36410,0,0,0,1319301,686875,8493040
20,5,396358,26800,30100,5000,3570,10608,9898,0,0,1412696,694356,8504396
21,5,396993,0,0,10063,2700,53824,0,0,0,1327714,691256,8153598
22,8,416444,11200,0,9800,0,0,0,78322,0,1496896,762805,9177461
23,5,396993,0,0,2900,0,0,0,0,0,1365458,691256,7427098
24,6,404954,0,18100,2900,0,15312,0,0,0,1348141,701956,7928417
25,6,403463,0,15300,4536,0,0,0,0,0,1345001,700320,7705889
26,6,402065,7800,0,15389,0,64133,0,0,0,1360865,696604,8520309
27,7,394948,12800,18100,3780,0,0,0,73737,0,1430517,725756,8889989
28,6,401176,14000,15300,12306,0,46527,0,0,0,1420395,698429,8588384
29,6,400120,21800,15300,13239,0,15561,0,0,0,1403784,697457,8301041
30,8,417161,14000,15300,26694,0,0,0,78322,0,1507942,764259,9623569
31,5,394500,39600,15300,5000,7520,27027,7744,0,0,1477498,689253,8980207
32,6,401845,14000,15300,6960,3290,14340,7887,0,0,1392313,703460,8769153
33,7,393514,0,15300,16931,300,0,0,73737,12000,1364764,710610,8889598
34,5,395505,0,0,2900,0,144648,0,0,0,1314458,684354,9084968
35,5,394757,0,18100,7266,0,81006,0,0,0,1311963,683055,8577006
36,5,391765,26800,18100,5000,0,67374,0,0,0,1381944,678345,8771481
37,6,400120,0,18100,5000,0,32975,0,0,0,1334294,694681,8079483
38,5,397854,0,0,10580,0,31941,0,0,0,1335956,695546,7888906
39,6,400120,0,18100,5000,0,32975,0,0,0,1339501,697457,8087466
40,5,397854,0,15300,14481,0,28392,0,0,0,1335956,695546,8076730
41,5,386514,0,15300,7400,14000,0,0,0,0,1296163,674829,7606132
42,5,387406,0,15300,18382,0,0,0,0,0,1304607,679225,7594744
43,5,391765,14000,18100,2900,0,45435,0,0,0,1344200,678345,8273237
44,5,395497,0,15300,5000,0,54614,0,0,0,1325219,689956,8229615
45,5,394126,0,0,19169,0,21096,0,0,0,1323142,688875,7792249
46,5,395497,0,0,2900,0,61670,0,0,0,1325219,689956,8105487
47,6,398803,0,18100,0,0,54222,0,0,0,1330442,692740,8250954
48,5,395996,0,18100,11116,0,29110,0,0,0,1326054,690391,8038537
49,5,399060,0,0,11944,0,40016,0,0,0,1343997,699733,8030614
50,7,393049,11200,15300,23124,0,0,0,73737,8000,1413693,719449,9114346
51,6,398205,34600,15300,21851,0,3552,0,0,0,1408535,692253,8406116
52,6,399560,0,15300,13638,0,35640,0,0,0,1338565,696970,8180555
53,5,389702,14000,30100,5000,14700,26422,0,0,0,1356216,684601,8741713
54,5,394500,0,18100,0,0,30118,0,0,0,1323868,689253,7893817
55,5,399558,0,30100,11040,3900,14256,9982,0,0,1344830,700166,8477380
56,5,393261,0,0,8550,0,35920,0,0,0,1306971,680455,7806490
57,6,397964,0,18100,5000,0,78952,0,0,0,1305101,679483,8557836
58,5,393261,16200,15300,9406,0,122780,0,0,0,1354741,680455,9308180
59,5,389600,14000,15300,21588,9000,0,0,0,0,1355385,684169,8014594
60,5,378208,0,0,7400,19260,41164,0,0,0,1250826,651225,8148867
61,5,383257,0,15300,9800,14000,3828,0,0,0,1273596,663079,7957207
62,5,379049,0,0,2900,1800,0,0,0,0,1253633,652687,7057128
63,5,393690,14000,15300,2900,3820,10536,10530,0,0,1364424,590378,8451854
64,7,398427,14000,15300,9800,0,0,0,73737,4000,1455470,736914,9075608
65,5,396857,14000,15300,9800,0,14160,0,0,0,1375576,694681,8063285
66,5,396857,0,15300,5000,2490,10620,4956,0,0,1334294,694681,7823115
67,5,390550,14000,15300,7400,3150,14633,10455,0,0,1335153,673635,8282976
68,5,398062,14000,18100,2900,1840,10653,6390,0,0,1383617,698867,8651428
69,5,394500,0,18100,2900,3530,21114,9856,0,0,1323868,689253,8118037
70,5,389895,0,0,7400,3380,17390,11832,0,0,1291376,672337,7683921
71,7,399763,26800,15300,9800,0,0,0,74860,12000,1515537,728879,9428732
72,5,384005,26800,18100,2900,10000,18500,0,0,0,1355119,664379,8134710
73,5,389600,14000,15300,21588,8000,18770,0,0,0,1355385,684169,8227834
74,7,393049,14000,18100,8550,0,0,0,73737,0,1421950,719449,8922947
75,8,417878,0,15300,5000,0,0,0,88334,0,1266875,1012015,9325974
76,8,419222,0,18100,3780,0,0,0,88334,0,1473790,767974,9325856
77,6,405449,26800,18100,2900,0,10851,0,0,0,1436286,706703,8334617
78,8,418595,14000,18100,8590,0,0,0,88334,0,1512593,766682,9600835
79,8,413396,0,18100,5000,0,0,0,88334,0,1358315,870416,9249175
80,7,393992,34600,15300,8550,0,0,0,73737,0,1467518,710989,9215991
81,6,401226,11200,18100,0,0,14316,0,0,0,1364401,693226,7989623
82,7,396522,12800,15300,7400,0,0,0,73737,0,1439336,730351,8934387
83,8,414203,14000,0,7400,0,0,0,78322,0,1496472,758282,9151238
84,6,404428,26800,15300,15625,0,92354,0,0,0,1469801,704501,9449350
85,8,413396,0,15300,5040,0,0,0,88334,0,1251665,999867,9238856
86,5,396993,0,0,0,2700,79892,0,0,0,1327714,691256,8345658
87,8,421643,14000,15300,16229,0,0,0,78322,0,1522512,771850,9580390
88,5,390550,14000,15300,9800,5650,32750,5576,0,0,1339833,676071,8281968
