no,level,salary,huyou,tiiki,jukyo,tsukin,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
15,”04,370700,0,55605,30100,4200,0,10185,0,0,0,0,0,470790,1055768,690310,7395558
60,”04,370700,0,55605,0,7100,1400,25262,0,0,0,0,0,460067,1163811,760954,7445569
62,”04,370700,0,55605,0,2000,0,0,0,0,0,0,0,428305,1163811,760954,7064425
64,”06,426307,11000,77740,9800,10000,240,0,0,0,80967,0,4000,620054,1539777,979407,9959832
67,”03,364200,11000,56280,9800,10000,0,14278,43236,12006,0,0,0,520800,1130817,712011,8092428
71,”07,436059,11000,80621,9800,7100,0,0,0,0,90423,0,0,635003,1636576,1017674,10274286
81,”06,426307,0,76090,15300,0,0,0,0,0,80967,0,0,598664,1497917,979407,9661292
89,”08,462851,25300,89474,15300,10681,0,0,0,0,108350,0,0,711956,1509320,1375993,11428785
103,”05,411000,0,61650,15300,0,0,7530,0,0,0,0,0,495480,1400216,883855,8229831
104,”04,395800,0,59370,0,8374,0,18125,0,0,0,0,0,481669,1301785,851167,7932980
105,”03,364200,14300,56775,0,10000,0,10008,0,0,0,0,0,455283,1127229,712011,7302636
106,”05,411000,11000,63300,15300,2000,0,0,0,0,0,0,0,502600,1393638,883855,8308693
109,”06,426307,0,76090,9800,14446,0,0,0,0,80967,0,0,607610,1497917,1008213,9797450
110,”04,395800,37900,65055,15300,2000,0,14500,0,0,0,0,0,530555,1400755,851167,8618582
113,”05,411000,11000,63300,9800,5701,0,41415,0,0,0,0,0,542216,1393638,883855,8784085
116,”04,370700,0,55605,15300,2000,0,0,0,0,0,0,0,443605,1202083,760954,7286297
119,”07,436059,11000,80621,9800,2000,0,0,0,0,90423,0,0,629903,1598304,1017674,10174814
120,”05,411000,14300,63795,0,2000,3900,18825,0,9789,0,0,0,523609,1390050,883855,8557213
121,”04,395800,0,59370,0,5170,0,79895,0,0,0,0,0,540235,1301785,851167,8635772
133,”05,403900,0,60585,0,2000,0,29600,0,0,0,0,0,496085,1324151,865791,8142962
134,”05,411000,0,61650,15300,4200,0,34487,0,0,0,0,0,526637,1351778,883855,8555277
135,”04,389400,0,58410,0,7100,0,36528,0,0,0,0,0,491438,1322596,837403,8057255
137,”04,370700,0,55605,9800,2000,0,0,0,0,0,0,0,438105,1163811,760954,7182025
139,”06,426307,11000,77740,9800,2000,0,0,0,0,80967,0,0,607814,1539777,979407,9812952
142,”05,411000,11000,63300,9800,23034,800,11295,0,7530,0,0,0,537759,1393638,883855,8730601
143,”03,364200,39600,60570,28000,2000,0,10008,39633,9338,0,0,0,553349,1207361,712011,8559560
